Date,Adj Close,
08-05-2014,22344.04,21729.80
09-05-2014,22994.23,21773.97
12-05-2014,23551.00,21826.19
13-05-2014,23871.23,21882.70
14-05-2014,23815.12,21937.28
15-05-2014,23905.60,21993.97
16-05-2014,24121.74,22053.63
19-05-2014,24363.05,22115.76
20-05-2014,24376.88,22182.17
21-05-2014,24298.02,22244.57
22-05-2014,24374.40,22306.64
23-05-2014,24693.35,22371.07
26-05-2014,24716.88,22434.46
27-05-2014,24549.51,22498.16
28-05-2014,24556.09,22559.36
29-05-2014,24234.15,22613.69
30-05-2014,24217.34,22667.10
02-06-2014,24684.85,22725.79
03-06-2014,24858.59,22785.13
04-06-2014,24805.83,22846.39
05-06-2014,25019.51,22906.86
06-06-2014,25396.46,22972.25
09-06-2014,25580.21,23036.80
10-06-2014,25583.69,23094.96
11-06-2014,25473.89,23151.13
12-06-2014,25576.21,23210.65
13-06-2014,25228.17,23264.17
16-06-2014,25190.48,23318.39
17-06-2014,25521.19,23377.31
18-06-2014,25246.25,23431.49
19-06-2014,25201.80,23484.97
20-06-2014,25105.51,23538.38
23-06-2014,25031.32,23590.41
24-06-2014,25368.90,23647.79
25-06-2014,25313.74,23699.51
26-06-2014,25062.67,23747.25
27-06-2014,25099.92,23794.94
30-06-2014,25413.78,23845.73
01-07-2014,25516.35,23896.14
02-07-2014,25841.21,23950.98
03-07-2014,25823.75,24004.59
04-07-2014,25962.06,24058.73
07-07-2014,26100.08,24115.73
08-07-2014,25582.11,24166.88
09-07-2014,25444.81,24216.11
10-07-2014,25372.75,24258.50
11-07-2014,25024.35,24295.15
14-07-2014,25006.98,24332.89
15-07-2014,25228.65,24376.45
16-07-2014,25549.72,24428.39
17-07-2014,25561.16,24474.93
18-07-2014,25641.56,24520.60
21-07-2014,25715.17,24567.53
22-07-2014,26025.80,24617.52
23-07-2014,26147.33,24669.44
24-07-2014,26271.85,24726.32
25-07-2014,26126.75,24781.80
28-07-2014,25991.23,24837.75
30-07-2014,26087.42,24896.00
31-07-2014,25894.97,24951.41
01-08-2014,25480.84,24999.60
04-08-2014,25723.16,25050.63
05-08-2014,25908.01,25107.52
06-08-2014,25665.27,25160.24
07-08-2014,25589.01,25201.42
08-08-2014,25329.14,25229.65
11-08-2014,25519.24,25255.81
12-08-2014,25880.77,25288.60
13-08-2014,25918.95,25320.55
14-08-2014,26103.23,25352.01
18-08-2014,26390.96,25384.19
19-08-2014,26420.67,25416.64
20-08-2014,26314.29,25448.64
21-08-2014,26360.11,25480.16
22-08-2014,26419.55,25507.56
25-08-2014,26437.02,25534.86
26-08-2014,26442.81,25564.92
27-08-2014,26560.15,25596.73
28-08-2014,26638.11,25634.88
01-09-2014,26867.55,25676.95
02-09-2014,27019.39,25714.01
03-09-2014,27139.94,25750.22
04-09-2014,27085.93,25786.41
05-09-2014,27026.70,25818.27
08-09-2014,27319.85,25848.80
09-09-2014,27265.32,25875.55
10-09-2014,27057.41,25898.94
11-09-2014,26995.87,25923.10
12-09-2014,27061.04,25946.67
15-09-2014,26816.56,25971.88
16-09-2014,26492.51,25992.55
17-09-2014,26631.29,26010.17
18-09-2014,27112.21,26039.79
19-09-2014,27090.42,26069.76
22-09-2014,27206.74,26103.12
23-09-2014,26775.69,26130.81
24-09-2014,26744.69,26152.64
25-09-2014,26468.36,26170.97
26-09-2014,26626.32,26195.79
29-09-2014,26597.11,26219.56
30-09-2014,26630.51,26238.87
01-10-2014,26567.99,26255.56
07-10-2014,26271.97,26262.40
08-10-2014,26246.79,26269.11
09-10-2014,26637.28,26279.83
10-10-2014,26297.38,26282.96
13-10-2014,26384.07,26295.69
14-10-2014,26349.33,26310.05
15-10-2014,26349.33,26325.55
16-10-2014,25999.34,26341.03
17-10-2014,26108.53,26358.51
20-10-2014,26429.85,26377.58
21-10-2014,26575.65,26393.86
22-10-2014,26787.23,26413.33
27-10-2014,26752.90,26430.97
28-10-2014,26880.82,26449.47
29-10-2014,27098.17,26466.49
30-10-2014,27346.33,26485.52
31-10-2014,27865.83,26510.82
03-11-2014,27860.38,26538.34
05-11-2014,27915.88,26568.89
07-11-2014,27868.63,26597.16
10-11-2014,27874.73,26628.59
11-11-2014,27910.06,26667.15
12-11-2014,28008.90,26703.43
13-11-2014,27940.64,26735.69
14-11-2014,28046.66,26773.49
17-11-2014,28177.88,26814.59
18-11-2014,28163.29,26859.57
19-11-2014,28032.85,26899.47
20-11-2014,28067.56,26934.18
21-11-2014,28334.63,26972.53
24-11-2014,28499.54,27010.56
25-11-2014,28338.05,27041.47
26-11-2014,28386.19,27072.67
27-11-2014,28438.91,27106.39
28-11-2014,28693.99,27143.44
01-12-2014,28559.62,27177.41
02-12-2014,28444.01,27209.26
03-12-2014,28442.71,27241.01
04-12-2014,28562.82,27272.80
05-12-2014,28458.10,27301.69
08-12-2014,28119.40,27321.56
09-12-2014,27797.01,27333.90
10-12-2014,27831.10,27344.87
11-12-2014,27602.01,27353.06
12-12-2014,27350.68,27358.21
15-12-2014,27319.56,27358.20
16-12-2014,26781.44,27350.52
17-12-2014,26710.13,27345.01
18-12-2014,27126.57,27347.08
19-12-2014,27371.84,27352.02
22-12-2014,27701.79,27366.07
23-12-2014,27506.46,27382.16
24-12-2014,27208.61,27391.32
26-12-2014,27208.61,27392.86
29-12-2014,27208.61,27394.73
30-12-2014,27403.54,27397.85
31-12-2014,27499.42,27409.34
01-01-2015,27499.42,27421.32
02-01-2015,27887.90,27443.85
05-01-2015,27842.32,27463.16
06-01-2015,26987.46,27469.35
07-01-2015,26908.82,27473.77
08-01-2015,27274.71,27484.99
09-01-2015,27458.38,27503.82
12-01-2015,27585.27,27525.07
13-01-2015,27425.73,27537.58
14-01-2015,27346.82,27554.24
15-01-2015,28075.55,27581.09
16-01-2015,28121.89,27609.22
